file_id,file_name,r_mean,r_std,r_min,r_max,g_mean,g_std,g_min,g_max,b_mean,b_std,b_min,b_max,class_label
18XtBM0f71JDSm1q53DItGTcq3E_sjegY,Yellow_Walking_Iris_152_aug_00361.jpg,69.12480070153062,39.8793832003519,0,216,89.15890066964286,44.93953120962899,0,225,44.09823421556123,30.034411998383415,0,199,yellow_walking_iris
1EXJn1VObSYBYV-6RO9fg7qpMHfmSNo8O,Yellow_Walking_Iris_307_aug_00359.jpg,78.2739556760204,35.88437627608707,0,183,78.2739556760204,35.88437627608707,0,183,78.2739556760204,35.88437627608707,0,183,yellow_walking_iris
15YhS7XsqrYZ2MpfstAn6ppwiWYFDhCRT,Yellow_Walking_Iris_24_aug_00360.jpg,81.27026865433673,48.083304618249464,0,248,100.16816804846938,54.67889017465482,0,255,43.147102200255105,31.472378167294252,0,167,yellow_walking_iris
1vt-DyVKjl-3UJktDI98IY5Pd0oHnp_sd,Yellow_Walking_Iris_82_aug_00358.jpg,69.7159199617347,44.67966356006425,0,202,80.69758450255102,49.85479576349154,0,208,42.082888233418366,29.638881466072455,0,184,yellow_walking_iris
1sMI0MpPgeRUs50QDV4R3Doq-MLYqlFYJ,Yellow_Walking_Iris_106_aug_00357.jpg,70.62069515306122,36.39837275463189,0,180,79.72668207908163,39.0941860563824,0,182,33.97333386479592,22.14721943669063,0,163,yellow_walking_iris
1o_f-B3r_JUQC7MhkxQejyOYteiW1z4Pb,Yellow_Walking_Iris_455_aug_00356.jpg,84.83976403061224,41.713713270539316,0,207,87.39991230867346,42.89014943642111,0,199,47.26998963647959,27.203915204236793,0,158,yellow_walking_iris
1S8BG5WECgKTe-p4ZinyX7k3MASUVzuR5,Yellow_Walking_Iris_555_aug_00355.jpg,73.40232382015306,36.30294155066828,0,200,92.9280931122449,41.54230476441201,0,211,43.80646125637755,27.338894082402994,0,190,yellow_walking_iris
16_P2V5MJW-gnHQtYIC4wVwuDWCk0FR49,Yellow_Walking_Iris_518_aug_00354.jpg,117.76235650510205,57.36366906082937,0,255,136.23090720663265,60.91594934030243,0,255,50.446946747448976,41.158106995455135,0,223,yellow_walking_iris
1AY3uo-fusjq6JGlCucZ9v8VuX2PUDM04,Yellow_Walking_Iris_353_aug_00353.jpg,83.44734534438776,59.776526139412915,0,255,86.80622209821429,62.199170287616305,0,232,30.536073022959183,31.01922849505353,0,168,yellow_walking_iris
1lv9HFVdPvVCSHomhMagIvftsfe9doasm,Yellow_Walking_Iris_328_aug_00352.jpg,76.39722177933673,51.544650198258466,0,248,90.06794084821429,58.301927103954,0,254,43.62816884566327,35.20434316650812,0,184,yellow_walking_iris
13pQ0GmHmykHUIBiKGCbOC1R-ZhE8RAGd,Yellow_Walking_Iris_513_aug_00351.jpg,86.36200573979592,53.470235998637285,0,248,92.34319196428571,56.20689324647874,0,235,39.705436862244895,32.09573503887124,0,165,yellow_walking_iris
1pUmiChzDEFZBkAmDFn_KQiEshAFK2pVj,Yellow_Walking_Iris_563_aug_00349.jpg,90.56094547193878,46.74740619781412,0,246,106.79950573979592,50.75407593726342,0,251,52.05875318877551,34.913389556450426,0,235,yellow_walking_iris
1VB1K5CKC8JWTMmArDfEwOOSJQ1IOQE_R,Yellow_Walking_Iris_14_aug_00350.jpg,76.62422273596938,33.13441930229249,0,199,93.9096380739796,36.57033218348708,0,208,56.760423309948976,27.109581138797843,0,191,yellow_walking_iris
1-R95gojM7UBV_yr6RNCrFWzRIwbc1j4h,Yellow_Walking_Iris_132_aug_00348.jpg,79.62398357780613,49.84023436560418,0,223,84.72413105867346,51.83352115629291,0,218,33.54314811862245,28.067290773966224,0,157,yellow_walking_iris
1Xlh5GKEY-jzerZYpvj-_26SfgudElXxG,Yellow_Walking_Iris_475_aug_00346.jpg,116.77373644770408,50.93546818712263,0,255,118.8988958864796,51.57076543578711,0,234,59.47576530612245,36.16101094747474,0,206,yellow_walking_iris
1Sy3mKsTVJ5aeVw7BBBq3XVAkmlo8zzkE,Yellow_Walking_Iris_293_aug_00345.jpg,92.48184390943878,41.71257369911169,0,250,109.45256696428571,45.184316649577276,1,254,51.91274713010204,31.418332344048473,0,186,yellow_walking_iris
1cUOnyA-0zcL9s767LY5J0rVDkl0KBFGg,Yellow_Walking_Iris_404_aug_00344.jpg,73.24639269770408,38.88198003540943,0,231,108.07806521045919,43.90362632389228,1,246,46.25310905612245,30.782594279082566,0,218,yellow_walking_iris
1fWb8wQ4E6U0h4qhu5QWRdPpCJ4Bqx8Qy,Yellow_Walking_Iris_462_aug_00343.jpg,88.4145208864796,49.13036248531552,0,245,122.43540736607143,57.9278793251619,0,252,52.80845424107143,36.114476074409886,0,206,yellow_walking_iris
1tJOa-Yha4YfcTLrd9JAdZFU8QNzTO2-2,Yellow_Walking_Iris_136_aug_00342.jpg,58.61342075892857,35.78957647595711,0,192,80.59283322704081,41.113421269201055,0,204,40.81509088010204,28.206869367864027,0,148,yellow_walking_iris
1GgmFtX9HVVf1yjnKf20lOe6SSxvU8ejO,Yellow_Walking_Iris_467_aug_00341.jpg,106.6050103635204,53.30498672676788,0,252,124.95599489795919,58.36866697307948,0,254,61.89666374362245,39.52683290880406,0,213,yellow_walking_iris
1xbuHohdP9zW4jfyeeLdzhJ-GNrZREq9w,Yellow_Walking_Iris_423_aug_00340.jpg,78.04255022321429,47.42019850558263,0,245,109.17781409438776,57.58918804370349,0,255,53.559550382653065,36.796728170732834,0,237,yellow_walking_iris
