file_id,file_name,h_mean,h_std,h_min,h_max,s_mean,s_std,s_min,s_max,l_mean,l_std,l_min,l_max,percentage_shadow_pixels,average_shadow_luminance
18XtBM0f71JDSm1q53DItGTcq3E_sjegY,Yellow_Walking_Iris_152_aug_00361.jpg,43.328882334183675,15.272650135129064,0.0,177.0,110.12761080994898,62.0286373832915,0.0,255.0,66.99238679846938,36.49291004418864,0.0,202.0,33.783083545918366,24.61842959117456
1EXJn1VObSYBYV-6RO9fg7qpMHfmSNo8O,Yellow_Walking_Iris_307_aug_00359.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.2739556760204,35.88437627608707,0.0,183.0,17.990672831632654,19.24725822532403
15YhS7XsqrYZ2MpfstAn6ppwiWYFDhCRT,Yellow_Walking_Iris_24_aug_00360.jpg,39.23985570790816,17.837246916553237,0.0,178.0,119.15551259566327,62.646415161393406,0.0,255.0,72.14381377551021,41.75425122323198,0.0,205.0,32.0133131377551,21.924422586067358
1vt-DyVKjl-3UJktDI98IY5Pd0oHnp_sd,Yellow_Walking_Iris_82_aug_00358.jpg,33.6262356505102,20.510114295453864,0.0,177.0,81.67600047831633,57.57938725490668,0.0,255.0,61.839146205357146,39.07745498139983,0.0,190.0,35.38345025510204,16.396699335361046
1sMI0MpPgeRUs50QDV4R3Doq-MLYqlFYJ,Yellow_Walking_Iris_106_aug_00357.jpg,35.14263791454081,18.084181771650062,0.0,177.0,111.2051777742347,56.236314005195155,0.0,255.0,57.58346619897959,29.25874004212778,0.0,166.0,36.866230867346935,25.660395718456048
1o_f-B3r_JUQC7MhkxQejyOYteiW1z4Pb,Yellow_Walking_Iris_455_aug_00356.jpg,31.212312659438776,19.668752833743607,0.0,179.0,91.60479113520408,54.96576418232593,0.0,255.0,68.82545440051021,33.81403992825943,0.0,173.0,28.262515943877553,25.102108454974967
1S8BG5WECgKTe-p4ZinyX7k3MASUVzuR5,Yellow_Walking_Iris_555_aug_00355.jpg,39.93082350127551,17.533056247881056,0.0,177.0,104.38960857780613,57.627876836943294,0.0,255.0,68.95137117346938,32.519068601933085,0.0,194.0,28.262515943877553,27.1359565615965
16_P2V5MJW-gnHQtYIC4wVwuDWCk0FR49,Yellow_Walking_Iris_518_aug_00354.jpg,35.17958785076531,15.291225025371956,0.0,179.0,153.38771524234693,65.17636300497803,0.0,255.0,95.52953603316327,46.35330012490679,0.0,239.0,19.62890625,29.082444918265814
1AY3uo-fusjq6JGlCucZ9v8VuX2PUDM04,Yellow_Walking_Iris_353_aug_00353.jpg,30.278200733418366,25.167845199750598,0.0,179.0,137.11726721938774,81.71379426086149,0.0,255.0,60.7099609375,44.13980726882146,0.0,202.0,42.00015943877551,15.993499098415109
1lv9HFVdPvVCSHomhMagIvftsfe9doasm,Yellow_Walking_Iris_328_aug_00352.jpg,35.37657445790816,22.61520676538624,0.0,177.0,106.20866549744898,71.12700812575986,0.0,255.0,67.81218112244898,45.40281727189237,0.0,205.0,35.82788584183674,16.435278411303333
13pQ0GmHmykHUIBiKGCbOC1R-ZhE8RAGd,Yellow_Walking_Iris_513_aug_00351.jpg,30.98208306760204,22.08547743179715,0.0,179.0,113.43576610331633,68.42370256473433,0.0,255.0,67.68301578443878,42.23674454081801,0.0,196.0,34.03619260204081,18.49912167701136
1pUmiChzDEFZBkAmDFn_KQiEshAFK2pVj,Yellow_Walking_Iris_563_aug_00349.jpg,38.25603874362245,18.97119404699272,0.0,178.0,110.90923947704081,62.57527938932812,0.0,255.0,80.42374840561224,40.95673092208966,0.0,238.0,24.894371811224488,24.10039228244336
1VB1K5CKC8JWTMmArDfEwOOSJQ1IOQE_R,Yellow_Walking_Iris_14_aug_00350.jpg,43.16753029336735,9.838473177043076,0.0,177.0,71.97395169005102,36.84074284164991,0.0,255.0,75.59345105229592,31.157641518579588,0.0,197.0,23.463408801020407,32.51541663127495
1-R95gojM7UBV_yr6RNCrFWzRIwbc1j4h,Yellow_Walking_Iris_132_aug_00348.jpg,32.383091517857146,20.448535944328558,0.0,179.0,128.9352479272959,71.14981916904429,0.0,255.0,60.448899872448976,38.54532355368932,0.0,173.0,39.467075892857146,19.681159420289855
1Xlh5GKEY-jzerZYpvj-_26SfgudElXxG,Yellow_Walking_Iris_475_aug_00346.jpg,31.294204400510203,20.409664074851193,0.0,179.0,108.9622727997449,54.77014374651785,0.0,255.0,91.59185666454081,41.42094118288029,0.0,223.0,18.26171875,28.56782713085234
1Sy3mKsTVJ5aeVw7BBBq3XVAkmlo8zzkE,Yellow_Walking_Iris_293_aug_00345.jpg,36.795280612244895,11.880808127848313,0.0,178.0,109.12663424744898,52.92573699928876,2.0,255.0,81.88793447066327,36.24426603344457,0.0,206.0,22.365274234693878,31.73846016752807
1cUOnyA-0zcL9s767LY5J0rVDkl0KBFGg,Yellow_Walking_Iris_404_aug_00344.jpg,45.013313137755105,12.77252904255912,0.0,177.0,120.3944316007653,58.65350928861124,0.0,255.0,77.64036591198979,34.90060749610207,2.0,225.0,24.8046875,31.260485296480798
1fWb8wQ4E6U0h4qhu5QWRdPpCJ4Bqx8Qy,Yellow_Walking_Iris_462_aug_00343.jpg,45.03228635204081,18.32077354550723,0.0,177.0,125.82796556122449,56.81060055933293,0.0,255.0,88.12338568239795,44.884877703712256,0.0,226.0,21.769371811224488,23.984619609997253
1tJOa-Yha4YfcTLrd9JAdZFU8QNzTO2-2,Yellow_Walking_Iris_136_aug_00342.jpg,46.72708067602041,14.78140077018491,0.0,174.0,109.33258928571429,63.793832743469196,0.0,255.0,60.90381855867347,33.89134759863146,0.0,173.0,37.26084183673469,23.843656397090285
1GgmFtX9HVVf1yjnKf20lOe6SSxvU8ejO,Yellow_Walking_Iris_467_aug_00341.jpg,38.42787388392857,19.554795998625764,0.0,178.0,113.99802694515306,57.6244246349262,0.0,255.0,94.60152264030613,46.76820207193409,0.0,231.0,19.333944515306122,24.626842593547057
1xbuHohdP9zW4jfyeeLdzhJ-GNrZREq9w,Yellow_Walking_Iris_423_aug_00340.jpg,43.932497608418366,18.544909578241167,0.0,177.0,104.5766302614796,60.369853069978404,0.0,255.0,81.73824139030613,45.70755305437512,0.0,241.0,26.271524234693878,20.350174480351995
1YhWe4vWu_Ar75EQ2oWloVNMPf4jfRvc4,Yellow_Walking_Iris_71_aug_00338.jpg,41.934849330357146,21.015090972873594,0.0,177.0,136.56818000637756,62.49704692580214,0.0,255.0,83.90898038903062,48.59871732794488,0.0,243.0,26.307397959183675,18.430530303030302
1aWaNsel8Xjzrbc1KWa6ZmFKLWWYvUW9z,Yellow_Walking_Iris_351_aug_00334.jpg,30.779675542091837,18.402293280497997,0.0,180.0,145.4631895727041,65.03452619064686,0.0,255.0,83.81600765306122,43.758568626699784,0.0,223.0,25.583944515306122,26.507361533068472
15c0uhaWqYQVKD__LYFJaeru--kQSqcBL,Yellow_Walking_Iris_518_aug_00335.jpg,36.479073660714285,18.76687910926027,0.0,177.0,117.41394292091837,76.15049525384704,0.0,255.0,78.83187181122449,56.22122451166206,0.0,242.0,35.22201849489796,15.618231200135801
1g0ZnmCot2EW7WGADd3jzMp7q-s-e65eW,Yellow_Walking_Iris_272_aug_00336.jpg,39.224589445153065,11.454986651207419,0.0,177.0,116.48517219387755,60.25986140216051,0.0,255.0,89.10443239795919,47.338834141934925,0.0,235.0,24.4937818877551,26.276647681041496
1emunA7cY09SQFc4JCahI2qTdNMe3z137,Yellow_Walking_Iris_238_aug_00333.jpg,41.57667012117347,20.84833428099255,0.0,177.0,103.66804846938776,64.44826377235161,0.0,255.0,88.53194754464286,55.21580617609255,0.0,233.0,27.730389030612244,16.420152364524938
1608fNYgFoj03xf8RZACmxXD7I_eFhcxB,Yellow_Walking_Iris_475_aug_00332.jpg,33.403240593112244,23.046414939666004,0.0,177.0,96.7208027742347,71.49301748470661,0.0,255.0,65.52845982142857,47.688164363872374,0.0,208.0,38.687818877551024,13.66227076035442
1MjvKEGs4qOwkXeU2yWky42za83VSCudx,Yellow_Walking_Iris_504_aug_00331.jpg,33.061802455357146,21.68553120961051,0.0,179.0,130.0481505102041,69.44068836769908,0.0,255.0,76.72566565688776,45.26618119691132,0.0,253.0,30.668048469387756,21.729269560696647
1mSoZBzZcqcB4mjUVNRiSEeh4BGahj7hk,Yellow_Walking_Iris_272_aug_00330.jpg,33.62679368622449,20.491469873658954,0.0,178.0,65.3471978635204,48.71979875959521,0.0,255.0,70.80749760841837,34.534723316465076,0.0,169.0,25.779257015306122,23.956938538848085
1SWejou61U6kncSJRqvtnP0t_aqOUknZO,Yellow_Walking_Iris_79_aug_00327.jpg,42.49073262117347,19.326071618870984,0.0,176.0,80.99998007015306,53.88054918240261,0.0,255.0,77.7247090242347,46.53068878192374,0.0,232.0,28.902264030612244,17.691352916839058
1RUly7Cnbt2St8k398ncO9TE--WNLaK2W,Yellow_Walking_Iris_86_aug_00329.jpg,34.48782286352041,15.595702481806345,0.0,179.0,182.8714524872449,60.32737254315352,0.0,255.0,87.6460259885204,49.43884565051114,0.0,246.0,26.74984056122449,24.670689912084637
1b8qFmkb0FnLKPLMDPFWddJilgnkHPqC2,Yellow_Walking_Iris_383_aug_00328.jpg,42.52357700892857,13.443167489857599,0.0,177.0,123.36288265306122,63.37855325178859,0.0,255.0,90.43602519132654,48.79011314112056,0.0,242.0,24.818638392857142,26.466634545892557
10e0gJBMFdJegsoAQvCtItXsQlnm6yW0g,Yellow_Walking_Iris_461_aug_00326.jpg,41.43178013392857,18.11946194608685,0.0,177.0,97.21564094387755,58.16056501310865,0.0,255.0,96.29370615433673,52.727030649269814,0.0,249.0,21.731505102040817,20.65379677182685
1x5gEZTIQsr2Mx_Fatve-c12cPma-P1ca,Yellow_Walking_Iris_448_aug_00324.jpg,35.83785076530612,14.887612258548794,0.0,178.0,71.95691167091837,31.029222297385907,0.0,255.0,100.87069515306122,33.201468542160114,16.0,209.0,7.168765943877552,40.45788156797331
18ipfOCA_1zgCjPzd-xZlYA_eiJSAgGGE,Yellow_Walking_Iris_475_aug_00322.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.75918765943878,47.14358115999279,0.0,245.0,18.616470025510203,21.201905577561288
1KpZHrXpajN54geD4Za1_8v8IOFVrKhRG,Yellow_Walking_Iris_45_aug_00323.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.4168925382653,56.85150954437167,0.0,253.0,17.944834183673468,25.135384273656154
1j2an-dQIV99i4NN0o8Po4UxgMTdkVtJp,Yellow_Walking_Iris_357_aug_00321.jpg,34.47973134566327,20.056512645853566,0.0,179.0,154.97391183035714,75.95781028919336,0.0,255.0,82.72608418367346,56.62649076830304,0.0,243.0,33.33466198979592,17.230778428793496
1QUbtbzMk7jVr9DciLah9FhZu_-8tlp9Z,Yellow_Walking_Iris_374_aug_00320.jpg,41.729711415816325,18.683735130608916,0.0,177.0,140.33101482780611,68.41428835570981,0.0,255.0,81.0439453125,45.5818254146004,0.0,230.0,27.333785076530614,22.061246810061977
